"UniqueID","RANK","sign-DISC","sign-REPL","NEW-Entrez-ID","NEW-Gene-ID","DISC: WB","Weight","Zscore","Direction","P","REPL: WB","Weight","Zscore","Direction","P","META: Weight","META: Zscore","META:Direction","META: P","REPL-cerebellum","Weight","Effect","SE","P","REPL-frontalcortex","Weight","Effect","SE","P","REPL-CD4+","Weight","Zscore","P","REPL-CD8+","Weight","Effect","SE","P","REPL-CD14+/monocytes","Weight","Zscore","P","REPL-LCLs","Weight","Effect","SE","P","REPL-LYMPHOCYTES","Weight","Effect","SE","P","REPL-PBMCs","Weight","Zscore","P"
25716,1,"y","y",57124,"CD248","------",7257,-32.476,"-",2.32E-231,"--------",8009,-40.13,"-","4.07e-352",15266,-51.458,"-","1.62e-577","?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-3.445,5.70E-04,"-",299,-0.044,0.005,2.44E-16,"+?",213,2.801,5.09E-03,"-",869,0.000,0.001,9.87E-01,"?",0,"ns","ns","ns","-?",134,-5.295,1.19E-07
53561,2,"y","y",54674,"LRRN3","------",7257,-29.119,"-",2.03E-186,"--------",8009,-33.55,"-",7.81E-247,15266,-44.381,"-","3.53e-430","+",394,0.005,0.004,1.29E-01,"-",394,-0.008,0.003,1.89E-02,"?-",213,-3.670,2.43E-04,"?",0,"ns","ns","ns","--",567,-3.745,1.80E-04,"-",869,-0.001,0.001,1.52E-01,"?",0,"ns","ns","ns","--",362,-5.080,3.77E-07
40285,3,"y","y",4753,"NELL2","------",7257,-23.650,"-",1.18E-123,"--------",8009,-23.48,"-",6.93E-122,15266,-33.311,"-",2.67E-243,"-",394,-0.006,0.003,6.23E-02,"-",394,-0.008,0.003,2.46E-02,"?-",213,-0.219,8.27E-01,"?",0,"ns","ns","ns","--",567,-1.806,7.09E-02,"?",0,"ns","ns","ns","-",1244,-0.009,0.001,1.58E-24,"--",362,-3.175,1.50E-03
25872,4,"y","y",51176,"LEF1","------",7257,-22.178,"-",5.57E-109,"--------",8009,-22.46,"-",9.38E-112,15266,-31.562,"-",1.22E-218,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?-",213,-2.050,4.04E-02,"?",0,"ns","ns","ns","--",567,-1.727,8.42E-02,"+",869,0.003,0.003,3.10E-01,"-",1244,-0.012,0.001,5.84E-32,"--",362,-3.216,1.30E-03
4817,5,"y","y",1236,"CCR7","------",7257,-21.138,"-",3.59E-99,"--------",8009,-22.44,"-",1.48E-111,15266,-30.83,"-",1.04E-208,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-5.730,1.01E-08,"-",299,-0.088,0.010,2.97E-15,"--",567,-2.632,8.48E-03,"-",869,-0.004,0.003,1.43E-01,"-",1244,-0.013,0.001,1.47E-40,"--",362,-2.964,3.04E-03
46463,6,"y","y",3983,"ABLIM1","------",7257,-22.321,"-",2.34E-110,"--------",8009,-20.73,"-",1.71E-95,15266,-30.407,"-",4.41E-203,"+",394,0.004,0.003,1.96E-01,"+",394,0.007,0.003,3.67E-02,"--",515,-4.260,2.05E-05,"-",299,-0.063,0.007,2.59E-16,"+-",567,-1.900,5.74E-02,"-",869,-0.003,0.002,6.60E-02,"?",0,"ns","ns","ns","--",362,-3.205,1.35E-03
42813,7,"y","y",2999,"GZMH","++-+++",7257,18.681,"+",7.03E-78,"+++-++++",8009,20.97,"+",1.26E-97,15266,28.068,"+",2.39E-173,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,5.407,6.41E-08,"+",299,0.076,0.015,1.39E-06,"++",567,2.202,2.77E-02,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",362,1.598,1.10E-01
26516,8,"y","y",4609,"MYC","------",7257,-18.964,"-",3.36E-80,"--------",8009,-19.51,"-",9.94E-85,15266,-27.203,"-",5.96E-163,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?-",213,-1.314,1.89E-01,"?",0,"ns","ns","ns","-+",567,-1.164,2.45E-01,"-",869,-0.005,0.001,4.87E-04,"?",0,"ns","ns","ns","--",362,-2.543,1.10E-02
10875,9,"y","y",939,"CD27","------",7257,-17.647,"-",1.07E-69,"--------",8009,-20.68,"-",5.13E-95,15266,-27.147,"-",2.76E-162,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-2.038,4.16E-02,"-",299,-0.051,0.008,1.34E-10,"--",567,-1.596,1.11E-01,"+",869,0.001,0.002,7.61E-01,"?",0,"ns","ns","ns","--",362,-1.393,1.64E-01
53320,10,"y","y",399665,"FAM102A","------",7257,-19.464,"-",2.24E-84,"--------",8009,-18.68,"-",7.11E-78,15266,-26.95,"-",5.68E-160,"+",394,0.003,0.004,4.65E-01,"+",394,0.012,0.004,9.15E-04,"--",515,-3.835,1.26E-04,"-",299,-0.053,0.008,1.04E-10,"+-",567,-0.207,8.36E-01,"-",869,-0.003,0.002,5.62E-02,"?",0,"ns","ns","ns","--",362,-3.238,1.21E-03
