NEW-Gene-ID,Zscore,Direction,P
CD248,-32.476,-,2.32E-231
LRRN3,-29.119,-,2.03E-186
NELL2,-23.65,-,1.18E-123
LEF1,-22.178,-,5.57E-109
CCR7,-21.138,-,3.59E-99
ABLIM1,-22.321,-,2.34E-110
GZMH,18.681,+,7.032E-78
MYC,-18.964,-,3.36E-80
CD27,-17.647,-,1.074E-69
FAM102A,-19.464,-,2.238E-84
SERPINE2,-16.077,-,3.708E-58
SLC16A10,-20.385,-,2.29E-92
FCGBP,-15.764,-,5.5E-56
GPR56,17.524,+,9.473E-69
BACH2,-17.824,-,4.643E-71
SYT11,17.225,+,1.72E-66
PDE9A,-17.21,-,2.22E-66
NOG,-17.006,-,7.411E-65
FLNB,-15.78,-,4.264E-56
NT5E,-17.453,-,3.285E-68
FGFBP2,17.449,+,3.506E-68
TGFBR3,14.997,+,7.733E-51
ITM2C,-14.414,-,4.239E-47
ATF7IP2,-15.515,-,2.734E-54
CR2,-16.293,-,1.104E-59
FAIM3,-17.917,-,8.652E-72
PHGDH,-13.249,-,4.557E-40
LDHB,-15.633,-,4.327E-55
SIRPG,-15.636,-,4.157E-55
FCRL6,13.285,+,2.828E-40
PDE7A,-15.584,-,9.399E-55
NOSIP,-14.435,-,3.121E-47
PAICS,-16.001,-,1.262E-57
BZW2,-14.927,-,2.186E-50
OXNAD1,-15.586,-,9.088E-55
CX3CR1,14.094,+,4.136E-45
SCML1,-13.999,-,1.576E-44
RPL22,-14.906,-,3.028E-50
LDLRAP1,-14.573,-,4.192E-48
RHOC,12.894,+,4.89E-38
LTB,-14.895,-,3.553E-50
FAM134B,-15.167,-,5.88E-52
LBH,-14.176,-,1.29E-45
PRSS23,14.071,+,5.763E-45
SUSD3,-14.258,-,4.013E-46
PIK3IP1,-14.933,-,2.024E-50
MFGE8,-12.46,-,1.234E-35
AGMAT,-13.765,-,4.136E-43
NKG7,14.434,+,3.172E-47
PPP2R2B,13.489,+,1.812E-41
GZMB,14.19,+,1.057E-45
SLC7A6,-15.235,-,2.071E-52
TTC38,13.878,+,8.635E-44
IMPDH2,-14.089,-,4.435E-45
GRAP,-14.824,-,1.018E-49
NUCB2,-12.039,-,2.217E-33
FBL,-13.815,-,2.069E-43
PRR5L,13.69,+,1.164E-42
SATB1,-13.046,-,6.657E-39
IL7R,-16.737,-,7.066E-63
ZSCAN18,-13.576,-,5.555E-42
ADRB2,13.205,+,8.181E-40
KLRB1,-13.01,-,1.079E-38
HSP90AB1,-14.161,-,1.593E-45
VPREB3,-12.905,-,4.22E-38
TCF7,-13.33,-,1.552E-40
OSBPL5,13.939,+,3.692E-44
IGJ,-8.883,-,6.519E-19
C1orf21,11.889,+,1.353E-32
BCL11B,-13.517,-,1.236E-41
NMT2,-14.499,-,1.235E-47
TNFRSF25,-13.869,-,9.699E-44
PTPRK,-12.737,-,3.692E-37
