GeneId,GeneSymbol,GeneName,Svalue,Pvalue,Meta-Qvalue,sigCore
10439,OLFM1,olfactomedin 1,132.5,8.89547761933855E-18,1.12E-13,X
3754,KCNF1,"potassium voltage-gated channel, subfamily F, member 1",126.65,1.06370304972579E-16,8.95E-13,X
5999,RGS4,regulator of G-protein signaling 4,115.71,1.04064756652985E-14,6.57E-11,X
5532,PPP3CB,"protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform",114.59,1.66178270741866E-14,8.39E-11,X
108,ADCY2,adenylate cyclase 2 (brain),113.13,3.04308062902150E-14,1.16E-10,X
55530,SVOP,SV2 related protein homolog (rat),84.79,5.74690114649186E-14,1.74E-10,X
1949,EFNB3,ephrin-B3,111.4,6.20684546805442E-14,1.74E-10,X
793,CALB1,"calbindin 1, 28kDa",108.96,1.69125022638430E-13,4.27E-10,X
491,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",108.36,2.16521903045126E-13,4.55E-10,X
3208,HPCA,hippocalcin,108.51,2.03706858454578E-13,4.55E-10,X
81553,FAM49A,"family with sequence similarity 49, member A",106.35,4.92794052761796E-13,0.000000001,X
221424,C6orf154,chromosome 6 open reading frame 154,79.75,5.61144430727558E-13,0.000000001,X
84557,MAP1LC3A,microtubule-associated protein 1 light chain 3 alpha,79.42,6.52420993312411E-13,1.07E-09,X
1845,DUSP3,dual specificity phosphatase 3,105.57,6.75499192436375E-13,1.07E-09,X
30818,KCNIP3,"Kv channel interacting protein 3, calsenilin",78.18,1.13999119023864E-12,1.69E-09,X
3423,IDS,iduronate 2-sulfatase,104.02,1.27013029528553E-12,1.78E-09,X
7432,VIP,vasoactive intestinal peptide,103.84,1.36475802851760E-12,1.81E-09,X
801,CALM1,"calmodulin 1 (phosphorylase kinase, delta)",102.71,2.15759824363891E-12,2.72E-09,X
6183,MRPS12,mitochondrial ribosomal protein S12,101.88,3.02085805093660E-12,3.47E-09,X
1392,CRH,corticotropin releasing hormone,101.96,2.92450252705377E-12,3.47E-09,X
23504,RIMBP2,RIMS binding protein 2,101.13,4.08396872228453E-12,4.48E-09,X
401237,FLJ22536,hypothetical locus LOC401237,75.16,4.41982261027161E-12,4.58E-09,X
163404,PAP2D,phosphatidic acid phosphatase type 2,75.11,4.53888931593893E-12,4.58E-09,X
5800,PTPRO,"protein tyrosine phosphatase, receptor type, O",100.74,4.79298974692691E-12,4.65E-09,X
5801,PTPRR,"protein tyrosine phosphatase, receptor type, R",100.18,5.99828521674022E-12,5.39E-09,X
3356,HTR2A,5-hydroxytryptamine (serotonin) receptor 2A,100.1,6.19627207153129E-12,5.39E-09,X
5798,PTPRN,"protein tyrosine phosphatase, receptor type, N",100.26,5.80401812968864E-12,5.39E-09,X
55800,SCN3B,"sodium channel, voltage-gated, type III, beta",91.83,6.76809548712002E-12,5.51E-09,X
4900,NRGN,"neurogranin (protein kinase C substrate, RC3)",99.89,6.75191328753849E-12,5.51E-09,X
157922,CAMSAP1,calmodulin regulated spectrin-associated protein 1,99.65,7.42977508061189E-12,5.86E-09,X
9215,LARGE,like-glycosyltransferase,99.42,8.13971469244693E-12,6.22E-09,X
6376,CX3CL1,chemokine (C-X3-C motif) ligand 1,98.77,1.05711473285655E-11,7.85E-09,X
1741,DLG3,"discs, large homolog 3 (Drosophila)",98.51,1.17516295324950E-11,8.47E-09,X
5522,PPP2R2C,"protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform",72.88,1.22765793476475E-11,8.61E-09,X
4208,MEF2C,myocyte enhancer factor 2C,98.26,1.29925116830339E-11,8.86E-09,X
81831,NETO2,neuropilin (NRP) and tolloid (TLL)-like 2,89.91,1.49879085937937E-11,9.7E-09,X
3706,ITPKA,"inositol 1,4,5-trisphosphate 3-kinase A",97.94,1.47165788483730E-11,9.7E-09,X
23208,SYT11,synaptotagmin XI,97.72,1.61281421454986E-11,1.02E-08,X
388341,C17orf76,chromosome 17 open reading frame 76,72.06,1.77105112106604E-11,1.09E-08,X
131408,FAM131A,"family with sequence similarity 131, member A",93.38,1.89380339711821E-11,1.14E-08,X
404217,CTXN1,cortexin 1,71.85,1.94871740545078E-11,1.14E-08,
3631,INPP4A,"inositol polyphosphate-4-phosphatase, type I, 107kDa",97.16,2.01663201884586E-11,1.16E-08,X
10955,SERINC3,serine incorporator 3,96.95,2.19072190000476E-11,1.23E-08,X
220164,DOK6,docking protein 6,71.39,2.38749409506648E-11,1.31E-08,X
5910,RAP1GDS1,"RAP1, GTP-GDP dissociation stimulator 1",96.57,2.55409346474926E-11,1.37E-08,X
2044,EPHA5,EPH receptor A5,96.43,2.70100301159570E-11,1.39E-08,X
51754,C9orf127,chromosome 9 open reading frame 127,96.44,2.68773110514585E-11,1.39E-08,X
2029,ENSA,endosulfine alpha,95.91,3.31538511493621E-11,1.67E-08,X
55884,WSB2,WD repeat and SOCS box-containing 2,95.85,3.39481715784435E-11,1.68E-08,X
121256,TMEM132D,transmembrane protein 132D,70.05,4.33491630187353E-11,0.000000021,X
57801,HES4,hairy and enhancer of split 4 (Drosophila),69.85,4.74679140360294E-11,2.26E-08,
10494,STK25,"serine/threonine kinase 25 (STE20 homolog, yeast)",94.86,5.04062009377725E-11,2.36E-08,X
9628,RGS6,regulator of G-protein signaling 6,94.81,5.14481265633895E-11,2.36E-08,X
9890,LPPR4,plasticity related gene 1,90.84,5.27530188663826E-11,2.38E-08,X
6505,SLC1A1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",94.42,5.98613034449767E-11,0.000000026,X
814,CAMK4,calcium/calmodulin-dependent protein kinase IV,93.92,7.31311832054921E-11,3.03E-08,X
79095,C9orf16,chromosome 9 open reading frame 16,93.95,7.22968984713422E-11,3.03E-08,X
84440,RAB11FIP4,RAB11 family interacting protein 4 (class II),68.63,8.15400764599528E-11,3.32E-08,X
5110,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase,93.35,9.17807881520313E-11,3.62E-08,X
83988,NCALD,neurocalcin delta,93.34,9.18750800414808E-11,3.62E-08,X
3797,KIF3C,kinesin family member 3C,89.37,9.53428183338384E-11,3.67E-08,X
1175,AP2S1,"adaptor-related protein complex 2, sigma 1 subunit",93.24,9.58894282685376E-11,3.67E-08,X
25814,ATXN10,ataxin 10,92.85,1.11763524967718E-10,4.15E-08,X
6854,SYN2,synapsin II,92.45,1.30784692950710E-10,4.78E-08,X
10486,CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)",88.51,1.34996049313730E-10,4.86E-08,X
9870,KIAA0317,KIAA0317,92.34,1.36620506013490E-10,4.86E-08,X
6002,RGS12,regulator of G-protein signaling 12,92.22,1.43368937069585E-10,4.97E-08,X
10125,RASGRP1,RAS guanyl releasing protein 1 (calcium and DAG-regulated),92.21,1.43633438971183E-10,4.97E-08,X
833,CARS,cysteinyl-tRNA synthetase,91.94,1.59757605892235E-10,5.45E-08,X
5300,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",91.64,1.80054876284535E-10,6.05E-08,X
84937,ZNRF1,zinc and ring finger 1,66.51,2.08176148563826E-10,6.79E-08,X
3281,HSBP1,heat shock factor binding protein 1,83.47,2.09997791270975E-10,6.79E-08,X
9758,FRMPD4,FERM and PDZ domain containing 4,90.96,2.35019877843978E-10,7.51E-08,X
1020,CDK5,cyclin-dependent kinase 5,74.98,2.38776301252466E-10,7.53E-08,X
2785,GNG3,"guanine nucleotide binding protein (G protein), gamma 3",82.93,2.62398537102965E-10,8.16E-08,X
55915,LANCL2,LanC lantibiotic synthetase component C-like 2 (bacterial),82.9,2.65137314130392E-10,8.16E-08,X
6792,CDKL5,cyclin-dependent kinase-like 5,90.45,2.87024609200695E-10,8.62E-08,X
3097,HIVEP2,human immunodeficiency virus type I enhancer binding protein 2,90.06,3.34574899178458E-10,0.000000097,X
23349,KIAA1045,KIAA1045,89.95,3.49942088526600E-10,0.0000001,X
30820,KCNIP1,Kv channel interacting protein 1,82.12,3.64377812245022E-10,0.000000103,X
5058,PAK1,p21 protein (Cdc42/Rac)-activated kinase 1,86,3.67631332338750E-10,0.000000103,X
4088,SMAD3,SMAD family member 3,89.8,3.70506303450925E-10,0.000000103,X
