GeneId,GeneSymbol,GeneName,Svalue,Pvalue,Meta-Qvalue,sigCore
10529,NEBL,nebulette,108.84,1.77E-13,2.34E-09,X
596,BCL2,B-cell CLL/lymphoma 2,102.08,2.78E-12,1.84E-08,X
9968,MED12,mediator complex subunit 12,102.58,2.27E-12,1.84E-08,X
2766,GMPR,guanosine monophosphate reductase,97.53,1.74E-11,7.65E-08,X
2670,GFAP,glial fibrillary acidic protein,96.74,2.39E-11,9.01E-08,X
125,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",91.16,4.65E-11,0.000000154,X
51741,WWOX,WW domain containing oxidoreductase,93.45,8.82E-11,0.000000259,X
1462,VCAN,versican,92.39,1.34E-10,0.000000322,X
5339,PLEC1,"plectin 1, intermediate filament binding protein 500kDa",92.43,1.32E-10,0.000000322,X
10768,AHCYL1,S-adenosylhomocysteine hydrolase-like 1,91.52,1.88E-10,0.000000356,X
307,ANXA4,annexin A4,91.82,1.68E-10,0.000000356,X
3691,ITGB4,"integrin, beta 4",91.67,1.78E-10,0.000000356,X
1837,DTNA,"dystrobrevin, alpha",86.51,3.00E-10,0.000000504,X
79026,AHNAK,AHNAK nucleoprotein,86.47,3.05E-10,0.000000504,X
3707,ITPKB,"inositol 1,4,5-trisphosphate 3-kinase B",83.24,1.10E-09,0.00000171,X
3908,LAMA2,"laminin, alpha 2",86.25,1.48E-09,0.00000217,X
4820,NKTR,natural killer-tumor recognition sequence,86.07,1.59E-09,0.00000218,X
6599,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1",85.97,1.65E-09,0.00000218,X
7052,TGM2,"transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)",85.57,1.92E-09,0.00000242,X
163702,IL28RA,"interleukin 28 receptor, alpha (interferon, lambda receptor)",61.14,2.21E-09,0.00000255,X
4258,MGST2,microsomal glutathione S-transferase 2,85.2,2.22E-09,0.00000255,X
2040,STOM,stomatin,84.73,2.65E-09,0.00000292,X
4775,NFATC3,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3",84.62,2.78E-09,0.00000294,X
22836,RHOBTB3,Rho-related BTB domain containing 3,79.93,4.04E-09,0.00000381,X
8324,FZD7,frizzled homolog 7 (Drosophila),83.73,3.90E-09,0.00000381,X
