GeneId,GeneSymbol,GeneName,Svalue,Pvalue,Meta-Qvalue,sigCore
2247,FGF2,fibroblast growth factor 2 (basic),61.51,2.36E-10,1.12E-06,
10768,AHCYL1,S-adenosylhomocysteine hydrolase-like 1,56.12,2.67E-09,8.47E-06,
1837,DTNA,"dystrobrevin, alpha",54.62,5.24E-09,1.25E-05,
9261,MAPKAPK2,mitogen-activated protein kinase-activated protein kinase 2,53.65,8.09E-09,1.28E-05,X
7082,TJP1,tight junction protein 1 (zona occludens 1),53.94,7.11E-09,1.28E-05,
6284,S100A13,S100 calcium binding protein A13,50.76,2.91E-08,3.96E-05,
81611,ANP32E,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",49.91,4.26E-08,5.06E-05,
5930,RBBP6,retinoblastoma binding protein 6,49.56,4.96E-08,5.08E-05,
55970,GNG12,"guanine nucleotide binding protein (G protein), gamma 12",49.40,5.34E-08,5.08E-05,
79870,BAALC,"brain and acute leukemia, cytoplasmic",43.35,9.95E-08,7.17E-05,
166647,GPR125,G protein-coupled receptor 125,47.85,1.06E-07,7.17E-05,
57326,PBXIP1,pre-B-cell leukemia homeobox interacting protein 1,47.99,9.92E-08,7.17E-05,
4601,MXI1,MAX interactor 1,48.05,9.65E-08,7.17E-05,
444,ASPH,aspartate beta-hydroxylase,46.74,1.72E-07,1.02E-04,
596,BCL2,B-cell CLL/lymphoma 2,46.41,1.98E-07,1.06E-04,
2534,FYN,"FYN oncogene related to SRC, FGR, YES",46.26,2.12E-07,1.06E-04,
9588,PRDX6,peroxiredoxin 6,46.32,2.07E-07,1.06E-04,
10595,ERN2,endoplasmic reticulum to nucleus signaling 2,40.10,4.35E-07,1.43E-04,
55326,AGPAT5,"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)",40.19,4.17E-07,1.43E-04,
11031,RAB31,"RAB31, member RAS oncogene family",44.77,4.07E-07,1.43E-04,
2768,GNA12,guanine nucleotide binding protein (G protein) alpha 12,44.67,4.25E-07,1.43E-04,
10529,NEBL,nebulette,44.68,4.23E-07,1.43E-04,
4000,LMNA,lamin A/C,44.94,3.78E-07,1.43E-04,
,CR600369,unknown,45.31,3.22E-07,1.43E-04,
1105,CHD1,chromodomain helicase DNA binding protein 1,45.40,3.09E-07,1.43E-04,
5507,PPP1R3C,"protein phosphatase 1, regulatory (inhibitor) subunit 3C",45.07,3.57E-07,1.43E-04,
7227,TRPS1,trichorhinophalangeal syndrome I,39.87,4.84E-07,1.49E-04,
414,ARSD,arylsulfatase D,39.43,5.88E-07,1.61E-04,
,BC016962,unknown,43.82,6.16E-07,1.61E-04,
10418,SPON1,"spondin 1, extracellular matrix protein",43.87,6.03E-07,1.61E-04,
79998,ANKRD53,ankyrin repeat domain 53,39.16,6.65E-07,1.65E-04,
7078,TIMP3,TIMP metallopeptidase inhibitor 3,43.28,7.77E-07,1.65E-04,
54498,SMOX,spermine oxidase,43.41,7.35E-07,1.65E-04,
32,ACACB,acetyl-Coenzyme A carboxylase beta,43.35,7.54E-07,1.65E-04,
23272,C3orf63,chromosome 3 open reading frame 63,43.27,7.81E-07,1.65E-04,
5375,PMP2,peripheral myelin protein 2,43.33,7.60E-07,1.65E-04,
9679,FAM53B,"family with sequence similarity 53, member B",43.53,6.99E-07,1.65E-04,
256364,EML3,echinoderm microtubule associated protein like 3,43.60,6.78E-07,1.65E-04,
7572,ZNF24,zinc finger protein 24,43.17,8.15E-07,1.68E-04,
10861,SLC26A1,"solute carrier family 26 (sulfate transporter), member 1",38.39,9.45E-07,1.73E-04,
6925,TCF4,transcription factor 4,42.83,9.46E-07,1.73E-04,
9830,TRIM14,tripartite motif-containing 14,43.00,8.78E-07,1.73E-04,
7469,WHSC2,Wolf-Hirschhorn syndrome candidate 2,42.89,9.22E-07,1.73E-04,
