GeneId,GeneSymbol,GeneName,Svalue,Pvalue,Meta-Qvalue,sigCore
6505,SLC1A1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",53.86,7.35E-09,3.95E-05,
9215,LARGE,like-glycosyltransferase,50.94,2.69E-08,9.65E-05,X
23587,C17orf81,chromosome 17 open reading frame 81,44.83,5.06E-08,1.36E-04,
9677,HISPPD2A,histidine acid phosphatase domain containing 2A,48.42,8.21E-08,1.77E-04,X
7881,KCNAB1,"potassium voltage-gated channel, shaker-related subfamily, beta member 1",45.92,2.46E-07,3.47E-04,X
1741,DLG3,"discs, large homolog 3 (Drosophila)",45.88,2.50E-07,3.47E-04,
5580,PRKCD,"protein kinase C, delta",45.48,2.98E-07,3.57E-04,
2558,GABRA5,"gamma-aminobutyric acid (GABA) A receptor, alpha 5",38.51,8.93E-07,4.20E-04,
6546,SLC8A1,"solute carrier family 8 (sodium/calcium exchanger), member 1",38.65,8.39E-07,4.20E-04,
6014,RIT2,Ras-like without CAAX 2,44.69,4.22E-07,4.20E-04,
6197,RPS6KA3,"ribosomal protein S6 kinase, 90kDa, polypeptide 3",42.95,8.99E-07,4.20E-04,X
4185,ADAM11,ADAM metallopeptidase domain 11,43.04,8.62E-07,4.20E-04,
6854,SYN2,synapsin II,44.28,5.03E-07,4.20E-04,X
7991,TUSC3,tumor suppressor candidate 3,43.50,7.07E-07,4.20E-04,X
5372,PMM1,phosphomannomutase 1,43.95,5.81E-07,4.20E-04,
4852,NPY,neuropeptide Y,43.35,7.56E-07,4.20E-04,
6612,SUMO3,SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae),43.19,8.08E-07,4.20E-04,
4826,NNAT,neuronatin,43.48,7.14E-07,4.20E-04,X
3420,IDH3B,isocitrate dehydrogenase 3 (NAD+) beta,43.35,7.55E-07,4.20E-04,X
6752,SSTR2,somatostatin receptor 2,44.13,5.38E-07,4.20E-04,
1393,CRHBP,corticotropin releasing hormone binding protein,43.64,6.64E-07,4.20E-04,
23380,SRGAP2,SLIT-ROBO Rho GTPase activating protein 2,42.42,1.13E-06,5.07E-04,
6301,SARS,seryl-tRNA synthetase,41.84,1.45E-06,5.79E-04,X
2281,FKBP1B,"FK506 binding protein 1B, 12.6 kDa",41.92,1.40E-06,5.79E-04,
10681,GNB5,"guanine nucleotide binding protein (G protein), beta 5",41.94,1.39E-06,5.79E-04,
6750,SST,somatostatin,41.24,1.88E-06,6.33E-04,
3797,KIF3C,kinesin family member 3C,41.32,1.81E-06,6.33E-04,X
523,ATP6V1A,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A",41.25,1.87E-06,6.33E-04,
4885,NPTX2,neuronal pentraxin II,41.41,1.75E-06,6.33E-04,X
5889,RAD51C,RAD51 homolog C (S. cerevisiae),41.44,1.73E-06,6.33E-04,
1845,DUSP3,dual specificity phosphatase 3,40.72,2.35E-06,7.45E-04,
1272,CNTN1,contactin 1,40.52,2.56E-06,7.86E-04,
2571,GAD1,"glutamate decarboxylase 1 (brain, 67kDa)",40.27,2.85E-06,8.28E-04,
2029,ENSA,endosulfine alpha,40.29,2.83E-06,8.28E-04,X
