"oldSymbol","newSymbol"
"0610007C21Rik","Atraid"
"0610007L01Rik","Tmem248"
"0610007N19Rik","Snhg18"
"0610007P08Rik","Ercc6l2"
"0610007P22Rik","Tsr3"
"0610008F07Rik","Hnf4aos"
"0610009B14Rik","Plekhd1os"
"0610010O12Rik","Cystm1"
"0610011L14Rik","Aar2"
"0610012H03Rik","Them7"
"0610037P05Rik","Fopnl"
"0610038L08Rik","Tbc1d22bos"
"0910001L09Rik","Lamtor4"
"100043387","Gm14305"
"1100001G20Rik","Wfdc21"
"1110001A16Rik","Cebpzos"
"1110002B05Rik","Sptssa"
"1110002N22Rik","Tefm"
"1110003E01Rik","Smim14"
"1110005A03Rik","Mettl23"
"1110008J03Rik","Rita1"
"1110012J17Rik","Mtcl1"
"1110014N23Rik","Vps51"
"1110017F19Rik","Smim6"
"1110018G07Rik","Arel1"
"1110018J18Rik","Aaed1"
"1110021J02Rik","Ccdc167"
"1110021L09Rik","Slc18b1"
"1110028C15Rik","Kansl1l"
"1110031I02Rik","Ogfod3"
"1110032A04Rik","Sptssb"
"1110034B05Rik","Tyw5"
"1110035M17Rik","Zfp652os"
"1110038D17Rik","Gucd1"
"1110049F12Rik","Pithd1"
"1110050K14Rik","Fendrr"
"1110054M08Rik","Lppos"
"1110054O05Rik","Inip"
"1110067D22Rik","Lgalsl"
"1190002F15Rik","Lockd"
"1190002H23Rik","Rgcc"
"1190003J15Rik","Urah"
"1190005F20Rik","Trmt1l"
"1190007F08Rik","Smim1"
"1200009I06Rik","Exoc3l4"
"1200011I18Rik","Gpalpp1"
"1200011M11Rik","Smg8"
"1200016B10Rik","Swt1"
"1300001I01Rik","Cluh"
"1300002K09Rik","Stra6l"
"1300010F03Rik","Vwa8"
"1300014I06Rik","Pxdc1"
"1300015D01Rik","Ctcflos"
"1300018I17Rik","Vps9d1"
"1300018J18Rik","Selo"
"1500001M20Rik","Tamm41"
"1500002O10Rik","Gad1os"
"1500002O20Rik","Smg9"
"1500003O03Rik","Chp1"
"1500010J02Rik","Ctc1"
"1500011H22Rik","Fam216a"
"1500012F01Rik","Zfas1"
"1500016L03Rik","Lhx1os"
"1500031L02Rik","Cep19"
"1500032L24Rik","Smdt1"
"1520402A15Rik","Lurap1"
"1600012F09Rik","Yae1d1"
"1600014K23Rik","Fthl17a"
"1600021P15Rik","Mb21d2"
"1600027N09Rik","Mrgbp"
"1600029D21Rik","Plet1"
"1700003F17Rik","Slfn5os"
"1700007I08Rik","Actl10"
"1700008A04Rik","Smim23"
"1700008P20Rik","Tescl"
"1700010M22Rik","Scp2d1"
"1700011A15Rik","Krt88"
"1700011F03Rik","Tex37"
"1700011F14Rik","Ccdc172"
"1700011J10Rik","Sp3os"
"1700012A16Rik","Shcbp1l"
"1700012B15Rik","Rab10os"
"1700013G23Rik","Med9os"
"1700013N18Rik","Ube2d2b"
"1700014N06Rik","H2bfm"
"1700016M24Rik","Mroh4"
"1700018L24Rik","Tex29"
"1700019E19Rik","Ift43"
"1700019G17Rik","Nat8f4"
"1700019N12Rik","Tex40"
"1700020O03Rik","Gpatch2l"
"1700021C14Rik","Tsacc"
"1700023A16Rik","Smco2"
"1700023L04Rik","Smkr-ps"
"1700024P03Rik","Ccdc34os"
"1700025E21Rik","Ssmem1"
"1700025K23Rik","Fam229b"
"1700026J04Rik","Fam217a"
"1700027A23Rik","Pifo"
"1700027D21Rik","Spatc1l"
"1700029F09Rik","Tex30"
"1700029G01Rik","Sh3d21"
"1700029I01Rik","Znf41-ps"
"1700029J11Rik","Fam209"
"1700034H14Rik","Timm21"
"1700040I03Rik","Pradc1"
"1700040N02Rik","Bcas1os2"
"1700042B14Rik","Cldn34b2"
"1700049G17Rik","Zfp974"
"1700054N08Rik","Ccsap"
"1700054O13Rik","Hypm"
"1700055N04Rik","Aldh3b3"
"1700057K13Rik","Tex35"
"1700061J05Rik","Tex33"
"1700066J24Rik","Fam219aos"
"1700081H22Rik","Nell1os"
"1700081L11Rik","Kansl1"
"1700085B03Rik","Tmem132cos"
"1700090G07Rik","Tmem247"
"1700091E21Rik","St8sia3os"
"1700095B22Rik","Kcnd3os"
"1700104A03Rik","Gldnos"
"1700106N22Rik","Camkmt"
"1700108M19Rik","Lrrc72"
"1700109F18Rik","Hoxd3os1"
"1700113I22Rik","Ptges3l"
"1700125D06Rik","Fam229a"
"1810006K21Rik","Tmem258"
"1810007I06Rik","Pla2g10os"
"1810008A18Rik","Fam207a"
"1810012P15Rik","Lyrm9"
"1810013D10Rik","Smim20"
"1810020D17Rik","Aamdc"
"1810027O10Rik","Tmem256"
"1810029B16Rik","Tma16"
"1810030J14Rik","Mptx1"
"1810030N24Rik","Smim8"
"1810031K17Rik","Cnppd1"
"1810035I16Rik","Ctrcos"
"1810035L17Rik","Slirp"
"1810046J19Rik","Mien1"
"1810048J11Rik","Pcnx4"
"1810049H13Rik","Oxld1"
"1810063B05Rik","Coa6"
"1810063B07Rik","Saysd1"
"1810074P20Rik","Ufl1"
"2010001E11Rik","Mfsd4b2"
"2010001M06Rik","Abhd11os"
"2010001M09Rik","Mzb1"
"2010002N04Rik","Smim3"
"2010003K15Rik","Smlr1"
"2010003O02Rik","Toporsos"
"2010011I20Rik","Fam210b"
"2010106G01Rik","Sppl2a"
"2010107H07Rik","Smim4"
"2010109K11Rik","Ccdc71l"
"2010110P09Rik","Chp2"
"2010305A19Rik","Coa7"
"2010317E24Rik","Sapcd2"
"2010321M09Rik","Vwa9"
"2200002K05Rik","Vstm5"
"2210009G21Rik","Slx4ip"
"2210010C17Rik","Igsf23"
"2210012G02Rik","Tceanc2"
"2210015D19Rik","Ube2d-ps"
"2210020M01Rik","Smim5"
"2210021J22Rik","Cdpf1"
"2210403K04Rik","Mir22hg"
"2210404J11Rik","Ermard"
"2210404O09Rik","Zfp995"
"2210411K11Rik","Tmem238"
"2210415F13Rik","Lypd8"
"2210417K05Rik","Hk1os"
"2300005B03Rik","Slurp2"
